inst#,actual,predicted,error,prediction
101,3:Right,4:Left,+,0.908
102,3:Right,3:Right,,0.654
103,3:Right,3:Right,,0.936
104,3:Right,3:Right,,0.91
1,1:Not,1:Not,,0.919
2,1:Not,1:Not,,0.96
3,1:Not,1:Not,,0.928
4,1:Not,1:Not,,0.919
5,1:Not,1:Not,,0.777
6,1:Not,1:Not,,0.963
7,1:Not,2:Forward,+,0.772
8,1:Not,1:Not,,0.508
9,1:Not,1:Not,,0.722
10,1:Not,1:Not,,0.998
11,1:Not,1:Not,,0.919
12,1:Not,1:Not,,0.834
13,1:Not,1:Not,,0.997
14,1:Not,1:Not,,0.919
15,1:Not,1:Not,,0.96
16,1:Not,1:Not,,0.917
17,1:Not,1:Not,,0.813
18,1:Not,2:Forward,+,0.418
19,1:Not,1:Not,,0.579
20,1:Not,3:Right,+,0.97
21,1:Not,1:Not,,0.989
22,1:Not,1:Not,,0.55
23,1:Not,1:Not,,0.997
24,1:Not,1:Not,,0.959
25,1:Not,2:Forward,+,0.772
26,1:Not,1:Not,,0.92
27,1:Not,1:Not,,0.812
28,1:Not,1:Not,,0.96
29,1:Not,1:Not,,0.996
30,1:Not,1:Not,,0.756
31,1:Not,1:Not,,0.759
32,1:Not,1:Not,,0.92
33,1:Not,2:Forward,+,0.687
34,2:Forward,2:Forward,,0.972
35,2:Forward,2:Forward,,0.771
36,2:Forward,2:Forward,,0.973
37,2:Forward,2:Forward,,0.772
38,2:Forward,2:Forward,,0.976
39,2:Forward,1:Not,+,0.963
40,2:Forward,2:Forward,,0.771
41,2:Forward,2:Forward,,0.772
42,2:Forward,1:Not,+,0.928
43,2:Forward,2:Forward,,0.747
44,2:Forward,2:Forward,,0.98
45,2:Forward,2:Forward,,0.977
46,2:Forward,1:Not,+,0.964
47,2:Forward,2:Forward,,0.97
48,2:Forward,2:Forward,,0.971
49,2:Forward,2:Forward,,0.761
50,2:Forward,2:Forward,,0.951
51,2:Forward,1:Not,+,0.613
52,2:Forward,2:Forward,,0.613
53,2:Forward,2:Forward,,0.963
54,2:Forward,2:Forward,,0.91
55,2:Forward,2:Forward,,0.976
56,2:Forward,2:Forward,,0.966
57,2:Forward,2:Forward,,0.883
58,2:Forward,2:Forward,,0.75
59,2:Forward,2:Forward,,0.963
60,2:Forward,2:Forward,,0.708
61,2:Forward,2:Forward,,0.974
62,2:Forward,2:Forward,,0.97
63,2:Forward,2:Forward,,0.767
64,2:Forward,2:Forward,,0.979
65,2:Forward,2:Forward,,0.951
66,2:Forward,2:Forward,,0.98
67,2:Forward,2:Forward,,0.768
68,2:Forward,2:Forward,,0.978
69,2:Forward,1:Not,+,0.791
70,4:Left,4:Left,,0.999
71,4:Left,4:Left,,0.901
72,4:Left,4:Left,,0.997
73,4:Left,4:Left,,0.921
74,4:Left,1:Not,+,0.394
75,4:Left,4:Left,,0.957
76,4:Left,4:Left,,0.924
77,4:Left,4:Left,,0.983
78,4:Left,3:Right,+,0.76
79,4:Left,4:Left,,0.991
80,4:Left,4:Left,,0.974
81,4:Left,4:Left,,0.815
82,4:Left,2:Forward,+,0.935
83,4:Left,4:Left,,0.98
84,4:Left,1:Not,+,0.874
85,4:Left,4:Left,,0.999
86,3:Right,3:Right,,0.917
87,3:Right,3:Right,,0.764
88,3:Right,3:Right,,0.999
89,3:Right,3:Right,,0.951
90,3:Right,4:Left,+,0.876
91,3:Right,3:Right,,0.983
92,3:Right,3:Right,,0.967
93,3:Right,4:Left,+,0.84
94,3:Right,3:Right,,0.971
95,3:Right,3:Right,,0.996
96,3:Right,3:Right,,0.969
97,3:Right,1:Not,+,0.736
98,3:Right,3:Right,,0.962
99,3:Right,3:Right,,0.993
100,3:Right,3:Right,,0.965
101,3:Right,3:Right,,0.997
102,3:Right,3:Right,,0.946
103,3:Right,4:Left,+,0.999
104,3:Right,3:Right,,0.999
1,1:Not,1:Not,,0.588
2,1:Not,2:Forward,+,0.756
3,1:Not,2:Forward,+,0.993
4,1:Not,1:Not,,0.996
5,1:Not,2:Forward,+,0.727
6,1:Not,1:Not,,0.971
7,1:Not,1:Not,,0.691
8,1:Not,1:Not,,0.988
9,1:Not,2:Forward,+,0.617
10,1:Not,2:Forward,+,0.605
11,1:Not,1:Not,,0.862
12,1:Not,4:Left,+,0.939
13,1:Not,1:Not,,0.6
14,1:Not,1:Not,,0.51
15,1:Not,1:Not,,0.884
16,1:Not,1:Not,,0.959
17,1:Not,1:Not,,0.956
18,1:Not,1:Not,,0.774
19,1:Not,1:Not,,0.599
20,1:Not,1:Not,,0.538
21,1:Not,1:Not,,0.621
22,1:Not,1:Not,,0.98
23,1:Not,1:Not,,0.964
24,1:Not,1:Not,,0.906
25,1:Not,3:Right,+,0.869
26,1:Not,1:Not,,0.643
27,1:Not,1:Not,,0.643
28,1:Not,1:Not,,0.947
29,1:Not,2:Forward,+,0.727
30,1:Not,1:Not,,0.996
31,1:Not,1:Not,,0.967
32,1:Not,2:Forward,+,0.727
33,1:Not,3:Right,+,0.886
34,2:Forward,2:Forward,,0.91
35,2:Forward,2:Forward,,0.918
36,2:Forward,2:Forward,,0.998
37,2:Forward,2:Forward,,0.909
38,2:Forward,2:Forward,,0.995
39,2:Forward,2:Forward,,0.97
40,2:Forward,1:Not,+,0.995
41,2:Forward,2:Forward,,0.731
42,2:Forward,2:Forward,,0.997
43,2:Forward,2:Forward,,0.914
44,2:Forward,2:Forward,,0.917
45,2:Forward,2:Forward,,1
46,2:Forward,2:Forward,,1
47,2:Forward,2:Forward,,0.784
48,2:Forward,2:Forward,,0.978
49,2:Forward,4:Left,+,0.654
50,2:Forward,2:Forward,,0.941
51,2:Forward,2:Forward,,0.759
52,2:Forward,2:Forward,,0.752
53,2:Forward,2:Forward,,0.985
54,2:Forward,2:Forward,,1
55,2:Forward,2:Forward,,0.863
